Index           Value
[46, 0]         it
[0, 0]          a
0               [
[1, 0]          100
0               ]
0               ,
0               ;
0               for
0               (
[8, 0]          i
0               =
[0, 0]          0
0               ;
[8, 0]          i
0               <=
[27, 0]         99
0               ;
[8, 0]          i
0               =
[8, 0]          i
0               +
[1, 1]          1
0               )
0               {
0               read
0               (
[0, 0]          a
0               [
[8, 0]          i
0               ]
0               )
0               ;
0               }
0               for
0               (
[8, 0]          i
0               =
[1, 1]          1
0               ;
[8, 0]          i
0               <=
[27, 0]         99
0               ;
[8, 0]          i
0               =
[8, 0]          i
0               +
[1, 1]          1
0               )
0               {
[0, 0]          a
0               [
[8, 0]          i
0               ]
0               =
[0, 0]          a
0               [
[8, 0]          i
0               ]
0               +
[0, 0]          a
0               [
[8, 0]          i
0               -
[1, 1]          1
0               ]
0               ;
0               }
0               write
0               (
[0, 0]          a
0               [
[27, 0]         99
0               ]
0               )
0               ;

Lexical Error! Line 1 Col 12
it a[100], 1i;
           ^^
